ACCOUNT_NAME,LEAD_ID,GOMINE_ACCOUNT,ACCOUNT_MATCH_TYPE,PARTNER_COUNTRY,ORIGINAL_LV_000,REPORTED_LV_000
Senok Trade Combine,8a99832979545a0b017954a79dde0ae3,SENOK TRADE COMBINE LTD,GOMINE,SRI LANKA,27.5,1.596
NSB,M2218274,,GOMINE,SRI LANKA,200,200
State Trading Organization plc,M22140504,STATE TRADING ORGANIZATION  MALDIVES,GOMINE,SRI LANKA,17.093,16.018
Senok,M2218761,SENOK WIND POWER PRIVATE LTD,GOMINE,SRI LANKA,30,30
RDB,8a99832979545a0b017954a7b31b0b0d,,GOMINE,SRI LANKA,28.75,28.75
CSE,M2218760,UNIVERSITY  OF MORATUWA,GOMINE,SRI LANKA,192.5,5.379
Kings Hospital,M2218269,,,SRI LANKA,12,12
Sri Lanka Navy,M2218273,GOVERNMENT OF SRILANKA,GOMINE,SRI LANKA,2.75,2.75
SMB LEASING PLC,8a99832979545a0b017954a7bd160b2a,SMB LEASING PLC,GOMINE,SRI LANKA,1,1
RDA,M2218270,,GOMINE,SRI LANKA,165,165
COLOMBO STOCK EXCHANGE,8a99832979545a0b017954a7b81d0b1b,LSE APJ OTHER,GOMINE,SRI LANKA,32.5,32.5
Laugfs Holdings,M2218275,LAUGFS HOLDINGS LIMITED,GOMINE,SRI LANKA,90,2.458
Co-Operative Insurance,M2218277,,GOMINE,SRI LANKA,80,80
LSEG,M2218759,LSE APJ OTHER,GOMINE,SRI LANKA,357,174.588
Bank of Ceylon,8a99832979545a0b017954a7993d0ad5,BANK OF CEYLON,,SRI LANKA,22.5,22.5
LSEG,M2218762,LSE APJ OTHER,GOMINE,SRI LANKA,27.5,0
THE COLOMBO FORT LAND & BUILDING PLC,8a99832979545a0b017954a7bf6d0b32,,,SRI LANKA,1,1
RDA,8a99832979545a0b017954a7a4bc0aef,,GOMINE,SRI LANKA,55,55
Bairaha Farms Ltd.,8a99832979545a0b017954a7c5c10b41,BAIRAHA FARMS LTD,GOMINE,SRI LANKA,1,1
SMIB,8a99832979545a0b017954a78ffc0abf,,GOMINE,SRI LANKA,27.5,27.5
Maldives Transport and Contracting Company,M22140503,MALDIVES TRANSPORT AND CONTRACTING COMPANY PLC.,GOMINE,SRI LANKA,7.004,7.004
Renuka Holdings PLC,8a99832979545a0b017954a7baac0b22,SHREE RENUKA SUGARS LTD,GOMINE,SRI LANKA,1,1
HOUSE OF FASHION,8a99832979545a0b017954a7c27d0b3a,,GOMINE,SRI LANKA,1,1
Bank of Ceylon,8a99832979545a0b017954a7afb50b05,BANK OF CEYLON,,SRI LANKA,36,36
Acuity Knowledge Partners,M2218271,ACUITY KNOWLEDGE PARTNERS,GOMINE,SRI LANKA,121,121
Airport And Aviation Authority,M2218764,,GOMINE,SRI LANKA,33,33
dfcc,8a99832979545a0b017954a7b4e10b14,DFCC BANK,GOMINE,SRI LANKA,33.75,33.75
SDB,8a99832979545a0b017954a793800ac6,,,SRI LANKA,27.5,27.5
Union Bank,8a99832979545a0b017954a79b8e0adc,UNION BANK OF COLOMBO PLC,GOMINE,SRI LANKA,16.5,16.5
SAii Lagoon Maldives - Cross Road,M22140500,,,SRI LANKA,36.775,36.775
LSEG,M2218766,LSE APJ OTHER,GOMINE,SRI LANKA,60,0
HCL,8a99832979545a0b017954a7a1470aea,HCL TECHNOLOGIES,,SRI LANKA,22,22
PABC,M2218765,BOWA COMMERCIAL BANK COMPANY LTD,GOMINE,SRI LANKA,27.5,27.5
RDA,8a99832979545a0b017954a783dd0ab3,,GOMINE,SRI LANKA,27.5,27.5
Sri Lanka Forest Department,8a99832979545a0b017954a7ad800b00,ECOSYSTEM CONSERVATION AND MANAGEMENT PROJECT,,SRI LANKA,28.75,0.35
PABC,8a99832979545a0b017954a796ed0ace,BOWA COMMERCIAL BANK COMPANY LTD,GOMINE,SRI LANKA,16.5,16.5
